30/Nov/2024:14:13:43 +0530  - - [30/Nov/2024:14:13:43 +0530] "Server started at Sat Nov 30 14:13:43 IST 2024 %U HTTP/1.1" %s %b
30/Nov/2024:14:13:44 +0530  - - [30/Nov/2024:14:13:44 +0530] "127.0.0.1 - - [Sat Nov 30 14:13:44 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:14:13:44 +0530  - - [30/Nov/2024:14:13:44 +0530] "0:0:0:0:0:0:0:1 - - [Sat Nov 30 14:13:44 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:14:13:44 +0530  - - [30/Nov/2024:14:13:44 +0530] "0:0:0:0:0:0:0:1 - - [Sat Nov 30 14:13:44 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:14:13:44 +0530  - - [30/Nov/2024:14:13:44 +0530] "0:0:0:0:0:0:0:1 - - [Sat Nov 30 14:13:44 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:14:13:44 +0530  - - [30/Nov/2024:14:13:44 +0530] "0:0:0:0:0:0:0:1 - - [Sat Nov 30 14:13:44 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:14:13:59 +0530  - - [30/Nov/2024:14:13:59 +0530] "0:0:0:0:0:0:0:1 - - [Sat Nov 30 14:13:59 IST 2024] "POST /login HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:14:13:59 +0530  - - [30/Nov/2024:14:13:59 +0530] "0:0:0:0:0:0:0:1 - - [Sat Nov 30 14:13:59 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:14:13:59 +0530  - - [30/Nov/2024:14:13:59 +0530] "0:0:0:0:0:0:0:1 - - [Sat Nov 30 14:13:59 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:14:17:07 +0530  - - [30/Nov/2024:14:17:07 +0530] "Server stoped at Sat Nov 30 14:17:07 IST 2024 %U HTTP/1.1" %s %b
