21/Oct/2024:15:56:07 +0530  - - [21/Oct/2024:15:56:07 +0530] "Server started at Mon Oct 21 15:56:07 IST 2024 %U HTTP/1.1" %s %b
21/Oct/2024:15:56:09 +0530  - - [21/Oct/2024:15:56:09 +0530] "127.0.0.1 - - [Mon Oct 21 15:56:09 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:15:56:19 +0530  - - [21/Oct/2024:15:56:19 +0530] "0:0:0:0:0:0:0:1 - - [Mon Oct 21 15:56:19 IST 2024] "GET /index.jsp HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:15:56:19 +0530  - - [21/Oct/2024:15:56:19 +0530] "0:0:0:0:0:0:0:1 - - [Mon Oct 21 15:56:19 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:15:56:19 +0530  - - [21/Oct/2024:15:56:19 +0530] "0:0:0:0:0:0:0:1 - - [Mon Oct 21 15:56:19 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:15:56:23 +0530  - - [21/Oct/2024:15:56:23 +0530] "0:0:0:0:0:0:0:1 - - [Mon Oct 21 15:56:23 IST 2024] "GET /register.jsp HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:15:56:23 +0530  - - [21/Oct/2024:15:56:23 +0530] "0:0:0:0:0:0:0:1 - - [Mon Oct 21 15:56:23 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:15:56:23 +0530  - - [21/Oct/2024:15:56:23 +0530] "0:0:0:0:0:0:0:1 - - [Mon Oct 21 15:56:23 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:16:00:18 +0530  - - [21/Oct/2024:16:00:18 +0530] "Server stoped at Mon Oct 21 16:00:18 IST 2024 %U HTTP/1.1" %s %b
