21/Oct/2024:13:37:39 +0530  - - [21/Oct/2024:13:37:39 +0530] "Server started at Mon Oct 21 13:37:39 IST 2024 %U HTTP/1.1" %s %b
21/Oct/2024:13:37:41 +0530  - - [21/Oct/2024:13:37:41 +0530] "User Id 0in session null: 127.0.0.1 - - [Mon Oct 21 13:37:41 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:13:37:41 +0530  - - [21/Oct/2024:13:37:41 +0530] "User Id 0in session null: 0:0:0:0:0:0:0:1 - - [Mon Oct 21 13:37:41 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:13:37:41 +0530  - - [21/Oct/2024:13:37:41 +0530] "User Id 0in session null: 0:0:0:0:0:0:0:1 - - [Mon Oct 21 13:37:41 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:13:37:53 +0530  - - [21/Oct/2024:13:37:53 +0530] "User Id 0in session null: 0:0:0:0:0:0:0:1 - - [Mon Oct 21 13:37:53 IST 2024] "POST /login HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:13:37:53 +0530  - - [21/Oct/2024:13:37:53 +0530] "User logged in: user_id=24 %U HTTP/1.1" %s %b
21/Oct/2024:13:37:53 +0530  - - [21/Oct/2024:13:37:53 +0530] "User Id 24in session 1546d653-4978-4ce9-a822-a4a9629a2a10: 0:0:0:0:0:0:0:1 - - [Mon Oct 21 13:37:53 IST 2024] "GET /home.jsp HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:13:37:57 +0530  - - [21/Oct/2024:13:37:57 +0530] "User Id 24in session 1546d653-4978-4ce9-a822-a4a9629a2a10: 0:0:0:0:0:0:0:1 - - [Mon Oct 21 13:37:57 IST 2024] "GET /contacts.jsp HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:13:39:01 +0530  - - [21/Oct/2024:13:39:01 +0530] "Server stoped at Mon Oct 21 13:39:01 IST 2024 %U HTTP/1.1" %s %b
