25/Nov/2024:14:43:42 +0530  - - [25/Nov/2024:14:43:42 +0530] "Server started at Mon Nov 25 14:43:42 IST 2024 %U HTTP/1.1" %s %b
25/Nov/2024:14:43:43 +0530  - - [25/Nov/2024:14:43:43 +0530] "127.0.0.1 - - [Mon Nov 25 14:43:43 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:43:43 +0530  - - [25/Nov/2024:14:43:43 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:43:43 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:43:43 +0530  - - [25/Nov/2024:14:43:43 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:43:43 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:43:43 +0530  - - [25/Nov/2024:14:43:43 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:43:43 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:43:43 +0530  - - [25/Nov/2024:14:43:43 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:43:43 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:44:12 +0530  - - [25/Nov/2024:14:44:12 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:44:12 IST 2024] "POST /login HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:44:12 +0530  - - [25/Nov/2024:14:44:12 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:44:12 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:44:12 +0530  - - [25/Nov/2024:14:44:12 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:44:12 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:46:17 +0530  - - [25/Nov/2024:14:46:17 +0530] "Server stoped at Mon Nov 25 14:46:17 IST 2024 %U HTTP/1.1" %s %b
