09/Dec/2024:22:14:32 +0530  - - [09/Dec/2024:22:14:32 +0530] "Server started at Mon Dec 09 22:14:32 IST 2024 %U HTTP/1.1" %s %b
09/Dec/2024:22:14:33 +0530  - - [09/Dec/2024:22:14:33 +0530] "127.0.0.1 - - [Mon Dec 09 22:14:33 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:22:14:33 +0530  - - [09/Dec/2024:22:14:33 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 22:14:33 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:22:14:33 +0530  - - [09/Dec/2024:22:14:33 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 22:14:33 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:22:14:48 +0530  - - [09/Dec/2024:22:14:48 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 22:14:48 IST 2024] "POST /login HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:22:14:48 +0530  - - [09/Dec/2024:22:14:48 +0530] "User logged in: user_id=24 %U HTTP/1.1" %s %b
09/Dec/2024:22:14:48 +0530  - - [09/Dec/2024:22:14:48 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 22:14:48 IST 2024] "GET /home.jsp HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:22:14:48 +0530  - - [09/Dec/2024:22:14:48 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 22:14:48 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:22:15:11 +0530  - - [09/Dec/2024:22:15:11 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 22:15:11 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:22:15:18 +0530  - - [09/Dec/2024:22:15:18 +0530] "Server stoped at Mon Dec 09 22:15:18 IST 2024 %U HTTP/1.1" %s %b
