09/Dec/2024:21:58:25 +0530  - - [09/Dec/2024:21:58:25 +0530] "Server started at Mon Dec 09 21:58:25 IST 2024 %U HTTP/1.1" %s %b
09/Dec/2024:21:58:26 +0530  - - [09/Dec/2024:21:58:26 +0530] "127.0.0.1 - - [Mon Dec 09 21:58:26 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:58:27 +0530  - - [09/Dec/2024:21:58:27 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 21:58:27 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:58:27 +0530  - - [09/Dec/2024:21:58:27 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 21:58:27 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:58:27 +0530  - - [09/Dec/2024:21:58:27 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 21:58:27 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:58:27 +0530  - - [09/Dec/2024:21:58:27 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 21:58:27 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:58:35 +0530  - - [09/Dec/2024:21:58:35 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 21:58:35 IST 2024] "POST /login HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:58:35 +0530  - - [09/Dec/2024:21:58:35 +0530] "User logged in: user_id=24 %U HTTP/1.1" %s %b
09/Dec/2024:21:58:35 +0530  - - [09/Dec/2024:21:58:35 +0530] " 24 3f6a2cb4-9bb7-4869-919a-52477d4ae058: 0:0:0:0:0:0:0:1 - - [Mon Dec 09 21:58:35 IST 2024] "GET /home.jsp HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:58:35 +0530  - - [09/Dec/2024:21:58:35 +0530] " 24 3f6a2cb4-9bb7-4869-919a-52477d4ae058: 0:0:0:0:0:0:0:1 - - [Mon Dec 09 21:58:35 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:22:01:41 +0530  - - [09/Dec/2024:22:01:41 +0530] "Server stoped at Mon Dec 09 22:01:41 IST 2024 %U HTTP/1.1" %s %b
